Organism,Max Temp (C),GC Content (%)
Photorhabdus asymbiotica,32,39.63
Photorhabdus luminescens,32,39.76
Shewanella woodyi,25,41.76
Shewanella hanedai,25,40.77
Aliivibrio fischeri,37,36.92
Aliivibrio logei,-2.5,40.34
Aliivibrio salmonicida,-2.5,38.58
Photobacterium aquimaris,17.5,39.74
Photobacterium damselae,17.5,41.71
Photobacterium kishitanii,25,39.58
Photobacterium leiognathi,17.5,42.12
Photobacterium mandapamensis,22.5,42.12
Photobacterium phosphoreum,12,39.63
Vibrio azureus,20,44.28
Vibrio campbellii,20,44.59
Vibrio chagasii,28,44.41
Vibrio cholerae,25,45.45
Vibrio harveyi,32.5,45.16
Vibrio sagamiensis,27.5,40.23
Vibrio splendidus,17.5,44.84
